"t / s","CH1 / V"
0.000187,-0.282828
0.0001875,-0.282828
0.000188,-0.323232
0.0001885,-0.282828
0.000189,-0.363636
0.0001895,-0.323232
0.00019,-0.282828
0.0001905,-0.282828
0.000191,-0.282828
0.0001915,-0.282828
0.000192,-0.363636
0.0001925,-0.242424
0.000193,-0.323232
0.0001935,-0.242424
0.000194,-0.363636
0.0001945,-0.282828
0.000195,-0.242424
0.0001955,-0.323232
0.000196,-0.40404
0.0001965,-0.323232
0.000197,-0.282828
0.0001975,-0.323232
0.000198,-0.363636
0.0001985,-0.323232
0.000199,-0.363636
0.0001995,-0.363636
0.0002,-0.242424
0.0002005,-0.282828
0.000201,-0.323232
0.0002015,-0.242424
0.000202,-0.282828
0.0002025,-0.282828
0.000203,-0.242424
0.0002035,-0.282828
0.000204,-0.363636
0.0002045,-0.282828
0.000205,-0.40404
0.0002055,-0.282828
0.000206,-0.282828
0.0002065,-0.323232
0.000207,-0.363636
0.0002075,-0.282828
0.000208,-0.323232
0.0002085,-0.282828
0.000209,-0.40404
0.0002095,-0.242424
0.00021,-0.323232
0.0002105,-0.363636
0.000211,-0.363636
0.0002115,-0.323232
0.000212,-0.282828
0.0002125,-0.323232
0.000213,-0.323232
0.0002135,-0.282828
0.000214,-0.323232
0.0002145,-0.363636
0.000215,-0.323232
0.0002155,-0.282828
0.000216,-0.323232
0.0002165,-0.282828
0.000217,-0.363636
0.0002175,-0.282828
0.000218,-0.242424
0.0002185,-0.323232
0.000219,-0.40404
0.0002195,-0.282828
0.00022,-0.363636
0.0002205,-0.282828
0.000221,-0.20202
0.0002215,-0.323232
0.000222,-0.323232
0.0002225,-0.363636
0.000223,-0.40404
0.0002235,-0.282828
0.000224,-0.323232
0.0002245,-0.20202
0.000225,-0.323232
0.0002255,-0.282828
0.000226,-0.242424
0.0002265,-0.282828
0.000227,-0.282828
0.0002275,-0.242424
0.000228,-0.282828
0.0002285,-0.282828
0.000229,-0.282828
0.0002295,-0.363636
0.00023,-0.323232
0.0002305,-0.282828
0.000231,-0.282828
0.0002315,-0.323232
0.000232,-0.363636
0.0002325,-0.363636
0.000233,-0.323232
0.0002335,-0.242424
0.000234,-0.282828
0.0002345,-0.363636
0.000235,-0.242424
0.0002355,-0.282828
0.000236,-0.363636
0.0002365,-0.282828
0.000237,-0.242424
0.0002375,-0.282828
0.000238,-0.323232
0.0002385,-0.282828
0.000239,-0.40404
0.0002395,-0.323232
0.00024,-0.363636
0.0002405,-0.282828
0.000241,-0.363636
0.0002415,-0.323232
0.000242,-0.20202
0.0002425,-0.323232
0.000243,-0.363636
0.0002435,-0.323232
0.000244,-0.323232
0.0002445,-0.323232
0.000245,-0.323232
0.0002455,-0.363636
0.000246,-0.363636
0.0002465,-0.323232
0.000247,-0.282828
0.0002475,-0.323232
0.000248,-0.323232
0.0002485,-0.242424
0.000249,-0.363636
0.0002495,-0.282828
0.00025,-0.363636
0.0002505,-0.323232
0.000251,-0.363636
0.0002515,-0.282828
0.000252,-0.323232
0.0002525,-0.242424
0.000253,-0.323232
0.0002535,-0.323232
0.000254,-0.242424
0.0002545,-0.323232
0.000255,-0.323232
0.0002555,-0.323232
0.000256,-0.323232
0.0002565,-0.363636
0.000257,-0.323232
0.0002575,-0.323232
0.000258,-0.323232
0.0002585,-0.363636
0.000259,-0.40404
0.0002595,-0.282828
0.00026,-0.323232
0.0002605,-0.363636
0.000261,-0.323232
0.0002615,-0.40404
0.000262,-0.282828
0.0002625,-0.242424
0.000263,-0.323232
0.0002635,-0.282828
0.000264,-0.282828
0.0002645,-0.282828
0.000265,-0.363636
0.0002655,-0.363636
0.000266,-0.282828
0.0002665,-0.40404
0.000267,-0.282828
0.0002675,-0.323232
0.000268,-0.363636
0.0002685,-0.242424
0.000269,-0.323232
0.0002695,-0.323232
0.00027,-0.282828
0.0002705,-0.363636
0.000271,-0.282828
0.0002715,-0.363636
0.000272,-0.323232
0.0002725,-0.323232
0.000273,-0.363636
0.0002735,-0.282828
0.000274,-0.242424
0.0002745,-0.242424
0.000275,-0.363636
0.0002755,-0.242424
0.000276,-0.40404
0.0002765,-0.363636
0.000277,-0.323232
0.0002775,-0.40404
0.000278,-0.323232
0.0002785,-0.323232
0.000279,-0.323232
0.0002795,-0.242424
0.00028,-0.282828
0.0002805,-0.242424
0.000281,-0.282828
0.0002815,-0.282828
0.000282,-0.282828
0.0002825,-0.323232
0.000283,-0.282828
0.0002835,-0.242424
0.000284,-0.282828
0.0002845,-0.363636
0.000285,-0.323232
0.0002855,-0.323232
0.000286,-0.323232
0.0002865,-0.323232
0.000287,-0.323232
0.0002875,-0.282828
0.000288,-0.323232
0.0002885,-0.363636
0.000289,-0.282828
0.0002895,-0.282828
0.00029,-0.363636
0.0002905,-0.242424
0.000291,-0.282828
0.0002915,-0.363636
0.000292,-0.242424
0.0002925,-0.323232
0.000293,-0.363636
0.0002935,-0.323232
0.000294,-0.363636
0.0002945,-0.323232
0.000295,-0.323232
0.0002955,-0.282828
0.000296,-0.323232
0.0002965,-0.282828
0.000297,-0.282828
0.0002975,-0.363636
0.000298,-0.282828
0.0002985,-0.282828
0.000299,-0.363636
0.0002995,-0.242424
0.0003,-0.40404
0.0003005,-0.363636
0.000301,-0.242424
0.0003015,-0.363636
0.000302,-0.363636
0.0003025,-0.323232
0.000303,-0.323232
0.0003035,-0.20202
0.000304,-0.40404
0.0003045,-0.323232
0.000305,-0.323232
0.0003055,-0.323232
0.000306,-0.323232
0.0003065,-0.323232
0.000307,-0.282828
0.0003075,-0.323232
0.000308,-0.282828
0.0003085,-0.242424
0.000309,-0.323232
0.0003095,-0.323232
0.00031,-0.40404
0.0003105,-0.323232
0.000311,-0.282828
0.0003115,-0.282828
0.000312,-0.242424
0.0003125,-0.323232
0.000313,-0.323232
0.0003135,-0.282828
0.000314,-0.242424
0.0003145,-0.282828
0.000315,-0.323232
0.0003155,-0.282828
0.000316,-0.282828
0.0003165,-0.40404
0.000317,-0.242424
0.0003175,-0.242424
0.000318,-0.323232
0.0003185,-0.40404
0.000319,-0.282828
0.0003195,-0.363636
0.00032,-0.323232
0.0003205,-0.323232
0.000321,-0.282828
0.0003215,-0.323232
0.000322,-0.282828
0.0003225,-0.282828
0.000323,-0.282828
0.0003235,-0.282828
0.000324,-0.242424
0.0003245,-0.282828
0.000325,-0.40404
0.0003255,-0.282828
0.000326,-0.282828
0.0003265,-0.323232
0.000327,-0.323232
0.0003275,-0.282828
0.000328,-0.363636
0.0003285,-0.242424
0.000329,-0.323232
0.0003295,-0.282828
0.00033,-0.242424
0.0003305,-0.40404
0.000331,-0.363636
0.0003315,-0.282828
0.000332,-0.363636
0.0003325,-0.242424
0.000333,-0.282828
0.0003335,-0.20202
0.000334,-0.363636
0.0003345,-0.282828
0.000335,-0.282828
0.0003355,-0.282828
0.000336,-0.323232
0.0003365,-0.282828
0.000337,-0.20202
0.0003375,-0.323232
0.000338,-0.323232
0.0003385,-0.242424
0.000339,-0.323232
0.0003395,-0.282828
0.00034,-0.323232
0.0003405,-0.323232
0.000341,-0.282828
0.0003415,-0.323232
0.000342,-0.323232
0.0003425,-0.363636
0.000343,-0.363636
0.0003435,-0.282828
0.000344,-0.282828
0.0003445,-0.323232
0.000345,-0.323232
0.0003455,-0.363636
0.000346,-0.282828
0.0003465,-0.323232
0.000347,-0.363636
0.0003475,-0.282828
0.000348,-0.363636
0.0003485,-0.282828
0.000349,-0.323232
0.0003495,-0.323232
0.00035,-0.282828
0.0003505,-0.323232
0.000351,-0.282828
0.0003515,-0.282828
0.000352,-0.242424
0.0003525,-0.323232
0.000353,-0.363636
0.0003535,-0.282828
0.000354,-0.323232
0.0003545,-0.282828
0.000355,-0.282828
0.0003555,-0.323232
0.000356,-0.323232
0.0003565,-0.282828
0.000357,-0.363636
0.0003575,-0.242424
0.000358,-0.242424
0.0003585,-0.363636
0.000359,-0.20202
0.0003595,-0.323232
0.00036,-0.323232
0.0003605,-0.40404
0.000361,-0.323232
0.0003615,-0.323232
0.000362,-0.282828
0.0003625,-0.323232
0.000363,-0.363636
0.0003635,-0.363636
0.000364,-0.323232
0.0003645,-0.323232
0.000365,-0.282828
0.0003655,-0.242424
0.000366,-0.363636
0.0003665,-0.282828
0.000367,-0.40404
0.0003675,-0.323232
0.000368,-0.363636
0.0003685,-0.363636
0.000369,-0.20202
0.0003695,-0.363636
0.00037,-0.20202
0.0003705,-0.363636
0.000371,-0.323232
0.0003715,-0.363636
0.000372,-0.363636
0.0003725,-0.323232
0.000373,-0.282828
0.0003735,-0.242424
0.000374,-0.363636
0.0003745,-0.323232
0.000375,-0.282828
0.0003755,-0.363636
0.000376,-0.323232
0.0003765,-0.323232
0.000377,-0.282828
0.0003775,-0.282828
0.000378,-0.282828
0.0003785,-0.323232
0.000379,-0.20202
0.0003795,-0.363636
0.00038,-0.323232
0.0003805,-0.282828
0.000381,-0.242424
0.0003815,-0.363636
0.000382,-0.282828
0.0003825,-0.282828
0.000383,-0.323232
0.0003835,-0.282828
0.000384,-0.282828
0.0003845,-0.363636
0.000385,-0.323232
0.0003855,-0.323232
0.000386,-0.282828
0.0003865,-0.282828
0.000387,-0.363636
0.0003875,-0.363636
0.000388,-0.323232
0.0003885,-0.323232
0.000389,-0.363636
0.0003895,-0.323232
0.00039,-0.242424
0.0003905,-0.363636
0.000391,-0.40404
0.0003915,-0.323232
0.000392,-0.282828
0.0003925,-0.323232
0.000393,-0.40404
0.0003935,-0.363636
0.000394,-0.282828
0.0003945,-0.242424
0.000395,-0.282828
0.0003955,-0.323232
0.000396,-0.282828
0.0003965,-0.363636
0.000397,-0.282828
0.0003975,-0.242424
0.000398,-0.282828
0.0003985,-0.282828
0.000399,-0.323232
0.0003995,-0.323232
0.0004,-0.323232
0.0004005,-0.242424
0.000401,-0.323232
0.0004015,-0.363636
0.000402,-0.40404
0.0004025,-0.323232
0.000403,-0.323232
0.0004035,-0.282828
0.000404,-0.363636
0.0004045,-0.323232
0.000405,-0.282828
0.0004055,-0.242424
0.000406,-0.323232
0.0004065,-0.323232
0.000407,-0.282828
0.0004075,-0.323232
0.000408,-0.323232
0.0004085,-0.323232
0.000409,-0.363636
0.0004095,-0.242424
0.00041,-0.363636
0.0004105,-0.282828
0.000411,-0.363636
0.0004115,-0.20202
0.000412,-0.323232
0.0004125,-0.363636
0.000413,-0.363636
0.0004135,-0.323232
0.000414,-0.282828
0.0004145,-0.363636
0.000415,-0.363636
0.0004155,-0.282828
0.000416,-0.242424
0.0004165,-0.323232
0.000417,-0.363636
0.0004175,-0.282828
0.000418,-0.242424
0.0004185,-0.363636
0.000419,-0.282828
0.0004195,-0.282828
0.00042,-0.323232
0.0004205,-0.323232
0.000421,-0.282828
0.0004215,-0.40404
0.000422,-0.323232
0.0004225,-0.323232
0.000423,-0.363636
0.0004235,-0.282828
0.000424,-0.40404
0.0004245,-0.282828
0.000425,-0.20202
0.0004255,-0.323232
0.000426,-0.282828
0.0004265,-0.282828
0.000427,-0.363636
0.0004275,-0.363636
0.000428,-0.282828
0.0004285,-0.363636
0.000429,-0.323232
0.0004295,-0.363636
0.00043,-0.282828
0.0004305,-0.282828
0.000431,-0.282828
0.0004315,-0.242424
0.000432,-0.282828
0.0004325,-0.282828
0.000433,-0.323232
0.0004335,-0.282828
0.000434,-0.363636
0.0004345,-0.282828
0.000435,-0.282828
0.0004355,-0.323232
0.000436,-0.40404
0.0004365,-0.282828
0.000437,-0.323232
0.0004375,-0.323232
0.000438,-0.282828
0.0004385,-0.363636
0.000439,-0.282828
0.0004395,-0.363636
0.00044,-0.282828
0.0004405,-0.323232
0.000441,-0.363636
0.0004415,-0.242424
0.000442,-0.363636
0.0004425,-0.363636
0.000443,-0.282828
0.0004435,-0.242424
0.000444,-0.363636
0.0004445,-0.282828
0.000445,-0.282828
0.0004455,-0.323232
0.000446,-0.282828
0.0004465,-0.363636
0.000447,-0.282828
0.0004475,-0.242424
0.000448,-0.242424
0.0004485,-0.242424
